State,Area Name,"Percent of adults with less than a high school diploma, 2000","Percent of adults with a high school diploma only, 2000","Percent of adults completing some college or associate's degree, 2000","Percent of adults with a bachelor's degree or higher, 2000","Less than a high school diploma, 2012-2016","High school diploma only, 2012-2016","Some college or associate's degree, 2012-2016","Bachelor's degree or higher, 2012-2016","Percent of adults with less than a high school diploma, 2012-2016","Percent of adults with a high school diploma only, 2012-2016","Percent of adults completing some college or associate's degree, 2012-2016","Percent of adults with a bachelor's degree or higher, 2012-2016"
VA,King George County,"19.6","32.4","24.4","23.6","1,179","4,445","5,179","5,680","7.2","27.0","31.4","34.5"
VA,King William County,"20.9","38.2","26.1","14.8","1,311","4,287","3,556","2,093","11.7","38.1","31.6","18.6"
VA,Lancaster County,"25.6","27.9","22.0","24.5","930","2,675","2,503","2,586","10.7","30.8","28.8","29.7"
VA,Lee County,"39.4","31.8","19.3","9.5","4,537","6,405","5,375","2,148","24.6","34.7","29.1","11.6"
VA,Loudoun County,"7.5","17.7","27.7","47.2","15,082","30,451","49,478","135,823","6.5","13.2","21.4","58.8"
VA,Louisa County,"28.3","34.9","22.9","14.0","4,041","8,869","6,376","5,416","16.4","35.9","25.8","21.9"
VA,Lunenburg County,"36.6","31.6","22.6","9.2","2,206","3,235","2,591","1,070","24.2","35.5","28.5","11.8"
VA,Madison County,"25.0","36.3","19.4","19.4","1,317","3,339","2,262","2,386","14.2","35.9","24.3","25.6"
VA,Mathews County,"19.2","33.8","27.8","19.2","579","2,283","2,115","1,802","8.5","33.7","31.2","26.6"
VA,Mecklenburg County,"32.2","34.1","21.6","12.1","4,611","7,541","6,902","3,939","20.1","32.8","30.0","17.1"
VA,Middlesex County,"26.3","29.9","24.9","18.9","946","2,688","2,720","1,938","11.4","32.4","32.8","23.4"
VA,Montgomery County,"17.2","23.7","23.2","35.9","4,659","11,870","12,516","24,755","8.7","22.1","23.3","46.0"
VA,Nelson County,"31.0","26.6","21.6","20.8","1,480","3,695","2,417","3,262","13.6","34.0","22.3","30.1"
VA,New Kent County,"19.4","34.7","29.6","16.3","1,183","4,747","4,712","3,731","8.2","33.0","32.8","26.0"
VA,Northampton County,"32.6","29.2","22.5","15.7","1,829","2,835","2,270","1,897","20.7","32.1","25.7","21.5"
VA,Northumberland County,"24.1","31.0","23.3","21.7","997","3,007","3,023","2,607","10.3","31.2","31.4","27.1"
VA,Nottoway County,"35.6","31.8","21.5","11.1","2,761","4,024","2,547","1,678","25.1","36.5","23.1","15.2"
VA,Orange County,"24.8","34.0","22.7","18.5","2,609","8,307","7,268","6,368","10.6","33.8","29.6","25.9"
VA,Page County,"35.2","39.7","15.3","9.8","3,563","7,577","3,815","2,215","20.8","44.1","22.2","12.9"
VA,Patrick County,"37.8","34.4","19.2","8.6","2,774","4,806","4,198","1,854","20.3","35.3","30.8","13.6"
VA,Pittsylvania County,"32.7","35.2","22.8","9.3","8,048","16,347","14,292","6,626","17.8","36.1","31.5","14.6"
VA,Powhatan County,"21.1","32.2","27.5","19.1","1,925","6,115","6,548","5,814","9.4","30.0","32.1","28.5"
VA,Prince Edward County,"30.1","28.4","22.4","19.2","2,198","4,485","3,276","3,009","16.9","34.6","25.3","23.2"
VA,Prince George County,"18.4","31.8","30.5","19.4","2,990","8,562","8,694","5,731","11.5","33.0","33.5","22.1"
VA,Prince William County,"11.2","24.9","32.4","31.5","30,781","59,623","79,462","110,677","11.0","21.3","28.3","39.5"
VA,Pulaski County,"25.8","33.9","27.9","12.5","4,049","8,651","8,163","4,647","15.9","33.9","32.0","18.2"
