State,Area Name,Unemployment_rate_2007,Unemployment_rate_2008,Unemployment_rate_2009,Unemployment_rate_2010,Unemployment_rate_2011,Unemployment_rate_2012,Unemployment_rate_2013,Unemployment_rate_2014,Unemployment_rate_2015,Unemployment_rate_2016,Unemployment_rate_2017
KY,Shelby County,"4.7","5.7","9.4","8.9","7.9","6.2","6.1","4.9","4.0","3.6","3.6"
KY,Simpson County,"5.1","6.4","12.9","13.0","11.0","8.5","7.5","5.9","5.0","4.5","4.5"
KY,Spencer County,"6.0","7.3","10.3","9.9","9.1","7.0","6.4","5.3","4.0","3.9","3.8"
KY,Taylor County,"5.3","6.1","10.4","12.3","10.8","9.6","9.4","7.7","6.0","5.3","4.7"
KY,Todd County,"6.5","7.1","11.9","10.0","8.7","7.6","7.4","5.4","5.0","4.3","4.1"
KY,Trigg County,"5.8","7.7","15.4","14.1","11.4","9.4","9.0","7.1","6.0","5.7","5.8"
KY,Trimble County,"6.2","7.3","11.7","12.9","11.4","9.0","8.3","7.3","6.0","5.5","5.0"
KY,Union County,"5.5","6.5","11.4","9.7","9.0","7.8","7.7","6.4","7.0","6.7","6.0"
KY,Warren County,"4.3","5.4","9.9","9.2","8.3","6.9","6.9","5.6","5.0","4.0","4.1"
KY,Washington County,"5.6","7.2","13.0","10.1","9.3","7.5","6.9","5.4","4.0","4.2","4.1"
KY,Wayne County,"6.5","8.3","13.8","14.1","14.3","13.0","11.9","9.7","8.0","7.4","7.6"
KY,Webster County,"5.8","6.3","9.6","9.5","8.0","7.1","7.1","5.4","5.0","6.0","5.3"
KY,Whitley County,"6.4","7.3","11.3","12.6","12.0","10.7","10.6","8.7","7.0","6.6","5.8"
KY,Wolfe County,"9.7","9.8","13.4","16.4","14.9","14.2","14.2","11.3","10.0","9.9","9.0"
KY,Woodford County,"3.9","4.8","8.2","7.3","6.5","5.4","5.3","4.5","4.0","3.3","3.3"
LA,Louisiana,"4.3","4.9","6.8","8.0","7.8","7.1","6.7","6.4","6.0","6.0","5.1"
LA,Acadia Parish,"3.8","4.2","6.5","7.3","6.7","6.0","6.0","5.8","7.0","7.4","5.9"
LA,Allen Parish,"5.7","6.2","9.4","9.8","9.1","8.0","7.5","7.2","7.0","6.4","5.3"
LA,Ascension Parish,"4.0","4.4","5.9","7.5","7.0","6.1","5.6","5.3","5.0","4.9","4.3"
LA,Assumption Parish,"4.7","5.8","8.0","11.6","12.1","9.7","8.3","7.7","8.0","8.4","7.4"
LA,Avoyelles Parish,"5.2","6.0","7.5","8.4","8.4","7.6","7.5","7.2","8.0","7.0","6.2"
LA,Beauregard Parish,"4.9","5.5","7.9","7.9","8.2","7.5","7.4","6.8","6.0","6.0","5.3"
LA,Bienville Parish,"5.5","6.5","9.6","10.0","10.1","9.0","8.7","7.9","8.0","7.6","6.0"
LA,Bossier Parish,"4.1","4.5","6.0","6.1","5.9","5.8","6.0","5.7","6.0","5.3","4.5"
LA,Caddo Parish,"5.2","5.7","7.7","8.1","7.9","7.7","7.9","7.5","7.0","6.6","5.8"
LA,Calcasieu Parish,"4.1","4.5","6.3","8.0","7.7","6.9","6.5","5.9","5.0","4.8","3.9"
LA,Caldwell Parish,"4.8","5.2","9.5","10.8","10.0","8.7","8.2","7.7","8.0","7.6","5.7"
LA,Cameron Parish,"3.7","4.4","5.9","6.3","5.8","5.2","5.3","5.0","5.0","4.4","3.6"
LA,Catahoula Parish,"5.8","6.8","10.2","10.3","10.3","8.9","8.5","8.1","10.0","9.3","7.0"
LA,Claiborne Parish,"5.5","6.3","9.4","8.7","8.3","7.4","7.5","7.4","7.0","6.7","5.4"
LA,Concordia Parish,"6.1","7.4","11.1","9.9","9.6","8.8","8.5","8.6","9.0","8.2","7.9"
LA,De Soto Parish,"5.8","7.2","8.5","8.8","8.5","9.0","8.8","8.1","8.0","7.3","6.1"
LA,East Baton Rouge Parish,"4.1","4.7","6.2","7.6","7.6","6.7","6.2","5.8","5.0","5.1","4.4"
LA,East Carroll Parish,"9.7","10.5","13.0","17.7","18.1","20.0","16.9","14.7","14.0","11.5","11.1"
LA,East Feliciana Parish,"4.8","5.4","7.2","8.3","8.5","7.5","6.9","6.5","6.0","5.7","4.8"
LA,Evangeline Parish,"5.1","5.4","7.9","8.6","8.4","7.4","6.8","6.8","8.0","7.4","5.9"
LA,Franklin Parish,"6.7","7.6","10.8","11.1","11.7","10.4","10.1","9.5","10.0","9.0","7.5"
LA,Grant Parish,"4.7","5.3","7.8","8.5","8.4","7.9","7.3","7.1","7.0","7.0","6.3"
LA,Iberia Parish,"3.7","4.3","6.9","8.6","7.9","6.8","6.5","6.3","8.0","9.4","7.3"
LA,Iberville Parish,"5.9","6.9","9.5","10.0","10.4","9.4","8.3","7.8","7.0","6.8","6.2"
LA,Jackson Parish,"4.4","4.9","7.7","7.3","7.4","6.8","6.5","5.9","6.0","5.6","4.5"
LA,Jefferson Parish,"3.6","4.5","6.3","7.4","7.2","6.7","6.3","6.0","6.0","5.3","4.5"
LA,Jefferson Davis Parish,"3.5","4.0","5.8","7.5","7.2","6.5","6.2","5.9","6.0","6.0","4.9"
LA,Lafayette Parish,"3.0","3.4","5.1","6.2","5.9","5.0","4.9","4.9","6.0","6.1","4.9"
LA,Lafourche Parish,"2.9","3.5","4.6","6.1","6.1","5.3","4.9","4.8","5.0","6.3","5.2"
LA,LaSalle Parish,"3.8","4.0","6.8","6.5","5.7","5.1","5.0","5.2","7.0","6.6","4.7"
