State,Area Name,Unemployment_rate_2007,Unemployment_rate_2008,Unemployment_rate_2009,Unemployment_rate_2010,Unemployment_rate_2011,Unemployment_rate_2012,Unemployment_rate_2013,Unemployment_rate_2014,Unemployment_rate_2015,Unemployment_rate_2016,Unemployment_rate_2017
MS,Walthall County,"6.3","7.1","11.3","13.0","12.0","11.2","10.7","9.4","8.0","7.7","6.8"
MS,Warren County,"6.1","6.3","9.8","10.5","10.2","9.0","9.0","7.6","7.0","6.3","5.7"
MS,Washington County,"8.4","9.4","13.6","15.8","15.5","14.5","14.5","12.5","10.0","9.0","7.4"
MS,Wayne County,"6.4","7.4","10.8","12.1","11.4","11.1","10.7","8.9","8.0","7.3","6.3"
MS,Webster County,"8.1","9.2","13.7","11.5","10.4","9.1","9.5","8.6","7.0","6.3","5.2"
MS,Wilkinson County,"8.4","7.9","10.8","13.8","13.0","12.3","12.4","11.4","11.0","10.2","8.7"
MS,Winston County,"6.6","7.4","16.8","17.0","13.3","11.5","11.0","10.0","8.0","7.1","6.0"
MS,Yalobusha County,"7.7","8.5","14.1","13.6","11.8","10.1","10.0","9.2","7.0","6.3","5.5"
MS,Yazoo County,"7.6","8.7","11.7","12.2","12.0","11.2","11.0","9.9","8.0","7.4","6.0"
MO,Missouri,"5.1","6.1","9.3","9.6","8.5","6.9","6.7","6.1","5.0","4.6","3.8"
MO,Adair County,"4.8","5.3","6.6","8.7","8.6","7.0","6.9","6.5","6.0","5.7","4.4"
MO,Andrew County,"3.9","4.8","7.7","8.3","6.9","5.3","5.4","5.2","4.0","3.7","3.1"
MO,Atchison County,"4.4","4.8","7.3","8.6","8.2","6.4","5.8","5.4","5.0","4.6","3.5"
MO,Audrain County,"4.9","6.2","9.3","9.6","8.2","6.5","6.3","5.6","5.0","4.3","3.5"
MO,Barry County,"4.9","5.5","8.2","9.7","9.0","7.1","6.8","6.1","5.0","4.5","3.4"
MO,Barton County,"8.7","9.3","10.7","10.3","8.8","7.4","7.2","6.3","5.0","5.2","4.2"
MO,Bates County,"6.1","7.2","10.7","11.0","10.1","8.2","7.6","7.1","6.0","5.4","4.4"
MO,Benton County,"5.9","6.9","9.9","12.1","10.9","9.1","8.5","7.8","7.0","6.1","5.2"
MO,Bollinger County,"5.4","6.7","10.3","10.1","9.0","7.0","7.1","6.8","6.0","5.2","4.4"
MO,Boone County,"3.7","4.4","6.3","6.5","5.7","4.5","4.5","4.2","4.0","3.3","2.6"
MO,Buchanan County,"4.5","5.2","8.5","9.2","8.1","6.3","6.2","5.7","5.0","4.1","3.5"
MO,Butler County,"6.6","6.2","8.1","9.6","9.0","8.2","7.9","7.0","6.0","5.7","4.6"
MO,Caldwell County,"5.5","6.7","9.7","9.6","8.7","7.0","6.7","5.5","5.0","4.7","4.0"
MO,Callaway County,"4.4","5.4","8.1","8.3","7.6","6.2","6.0","5.6","5.0","4.1","3.5"
MO,Camden County,"4.9","6.3","9.7","12.0","11.1","9.6","9.2","8.1","7.0","5.8","4.8"
MO,Cape Girardeau County,"4.3","5.2","7.3","7.3","6.7","5.5","5.8","5.5","4.0","4.3","3.4"
MO,Carroll County,"5.1","7.1","10.4","11.5","10.5","8.3","7.3","7.1","6.0","5.4","4.2"
MO,Carter County,"6.3","7.2","9.8","11.5","11.3","9.5","9.6","8.9","7.0","7.1","6.0"
MO,Cass County,"5.0","6.0","9.6","9.6","8.5","6.7","6.3","5.7","5.0","4.2","3.5"
MO,Cedar County,"5.7","6.5","9.1","9.5","8.7","7.4","7.0","6.4","5.0","5.0","4.1"
MO,Chariton County,"5.6","6.2","9.8","9.5","9.0","6.5","6.3","5.8","5.0","4.4","3.5"
MO,Christian County,"3.9","5.0","8.2","8.4","7.4","5.8","5.5","4.9","4.0","3.9","3.1"
MO,Clark County,"5.5","6.1","12.0","12.4","10.0","8.1","7.9","6.9","7.0","7.4","5.7"
MO,Clay County,"4.3","5.2","8.4","8.4","7.4","6.1","6.1","5.4","5.0","3.9","3.6"
MO,Clinton County,"5.2","5.9","9.8","9.7","8.9","7.0","6.6","5.9","5.0","4.2","3.9"
MO,Cole County,"3.9","4.5","6.8","6.9","6.3","5.2","5.2","5.0","4.0","3.6","2.9"
MO,Cooper County,"4.5","5.7","8.9","9.8","9.0","7.2","6.9","6.0","6.0","4.9","3.7"
MO,Crawford County,"7.0","8.1","11.0","12.7","10.9","8.8","8.6","8.0","6.0","5.3","4.7"
MO,Dade County,"5.3","6.3","8.9","9.7","9.3","7.5","6.8","6.0","5.0","4.5","3.4"
MO,Dallas County,"5.3","7.6","11.6","12.6","11.0","9.1","8.6","7.6","6.0","5.5","4.7"
MO,Daviess County,"4.5","5.4","8.9","9.8","8.9","6.9","6.2","5.8","5.0","3.9","3.3"
MO,DeKalb County,"5.2","6.3","9.5","8.8","8.0","5.9","6.0","5.4","5.0","4.3","3.8"
MO,Dent County,"6.7","7.7","9.5","10.4","9.7","8.2","7.5","6.8","6.0","5.4","4.3"
MO,Douglas County,"5.9","6.8","8.9","12.1","10.2","9.8","9.4","7.6","7.0","6.1","4.7"
MO,Dunklin County,"8.0","7.9","10.7","13.5","12.1","10.4","9.9","9.1","8.0","8.2","6.7"
MO,Franklin County,"5.6","7.5","12.0","11.3","9.4","7.9","7.2","6.5","5.0","4.4","3.6"
MO,Gasconade County,"5.5","7.6","11.6","10.4","8.8","7.1","6.3","5.3","4.0","4.3","3.9"
MO,Gentry County,"4.1","4.5","6.3","7.9","6.9","5.3","5.3","5.6","4.0","3.7","2.9"
MO,Greene County,"4.0","5.1","8.4","8.3","7.3","5.9","5.5","4.9","4.0","3.8","3.0"
MO,Grundy County,"4.8","5.6","7.7","8.0","7.1","6.4","5.9","5.3","4.0","4.6","3.6"
MO,Harrison County,"4.6","4.9","7.7","9.5","8.5","7.3","7.3","6.6","5.0","4.2","3.5"
MO,Henry County,"5.6","6.7","9.5","10.8","9.7","7.8","7.1","6.5","5.0","5.0","4.2"
MO,Hickory County,"7.5","9.7","13.4","12.6","11.7","12.0","9.9","8.4","7.0","5.6","4.5"
MO,Holt County,"5.0","5.0","7.1","7.9","7.2","5.2","5.4","4.9","4.0","3.2","2.9"
MO,Howard County,"4.5","6.0","8.4","8.7","8.2","6.8","6.5","5.4","5.0","4.4","3.9"
MO,Howell County,"4.7","5.7","9.7","10.8","9.6","8.1","7.8","7.1","6.0","6.3","4.9"
MO,Iron County,"5.3","5.7","8.8","16.7","14.1","11.4","10.6","9.9","8.0","7.2","6.5"
MO,Jackson County,"5.9","6.9","10.2","10.7","9.5","7.8","7.6","7.1","6.0","5.1","4.4"
MO,Jasper County,"4.5","5.2","8.2","8.5","7.6","5.9","5.8","5.3","4.0","4.2","3.3"
MO,Jefferson County,"5.2","6.9","10.6","10.4","8.8","7.2","6.8","6.2","5.0","4.3","3.6"
MO,Johnson County,"4.6","5.3","8.5","9.9","9.1","7.7","7.2","6.4","5.0","4.9","4.4"
MO,Knox County,"3.8","4.7","6.0","7.8","7.2","5.6","5.5","4.6","4.0","3.6","3.3"
MO,Laclede County,"5.6","7.6","12.5","12.4","11.3","9.2","9.6","8.1","6.0","5.5","4.9"
MO,Lafayette County,"5.2","6.1","9.7","9.8","9.1","7.1","6.4","6.0","5.0","4.3","3.7"
MO,Lawrence County,"4.0","4.8","8.3","9.3","8.3","6.5","6.6","5.9","5.0","4.4","3.6"
MO,Lewis County,"4.0","4.8","8.3","8.5","7.0","5.5","5.6","5.2","5.0","4.5","3.5"
MO,Lincoln County,"5.7","7.8","11.8","11.8","10.1","8.3","7.6","6.5","5.0","4.5","3.6"
MO,Linn County,"6.4","7.0","9.5","12.6","11.9","9.2","8.8","8.2","7.0","6.7","5.9"
MO,Livingston County,"4.4","5.2","7.7","8.2","7.6","6.2","5.6","5.0","4.0","3.9","3.0"
MO,McDonald County,"4.1","4.9","7.8","9.2","8.4","6.7","6.4","5.8","5.0","4.3","3.6"
MO,Macon County,"5.0","6.0","8.4","9.3","8.3","6.7","6.5","6.1","5.0","4.8","3.7"
MO,Madison County,"5.7","6.1","10.3","12.2","10.4","8.3","7.6","6.9","6.0","5.5","4.7"
MO,Maries County,"5.2","6.3","8.1","9.5","8.4","7.2","6.6","6.2","5.0","5.0","4.4"
MO,Marion County,"5.3","5.6","9.4","9.1","7.5","6.1","6.0","5.5","5.0","4.3","3.6"
MO,Mercer County,"4.1","4.8","7.3","8.4","6.7","5.2","5.5","5.1","4.0","4.6","3.8"
MO,Miller County,"5.3","6.7","11.7","12.9","11.5","9.0","8.7","7.7","6.0","5.2","4.5"
MO,Mississippi County,"6.6","7.3","8.7","9.7","9.6","7.9","7.8","7.3","6.0","6.7","5.1"
MO,Moniteau County,"4.6","5.5","8.2","8.4","7.7","6.6","6.4","6.0","5.0","4.3","3.6"
MO,Monroe County,"5.7","7.0","12.9","12.3","9.9","7.7","7.3","6.4","5.0","4.8","4.4"
MO,Montgomery County,"5.5","7.2","11.8","11.1","9.9","7.9","7.2","5.9","5.0","4.6","3.3"
MO,Morgan County,"6.2","7.5","12.6","14.5","12.6","9.9","9.5","8.7","7.0","5.9","5.0"
MO,New Madrid County,"6.9","7.1","9.3","10.0","9.7","8.1","7.8","7.4","6.0","9.3","6.7"
MO,Newton County,"4.7","5.5","8.1","9.0","8.0","6.2","6.0","5.4","5.0","4.4","3.6"
MO,Nodaway County,"3.7","4.2","6.4","7.2","6.9","5.6","6.5","6.8","5.0","4.7","3.7"
MO,Oregon County,"5.2","5.9","9.2","11.1","9.8","7.9","8.0","7.5","6.0","6.0","4.7"
MO,Osage County,"4.7","6.2","6.8","6.9","6.2","5.0","5.0","4.7","4.0","3.4","3.0"
MO,Ozark County,"5.2","6.1","8.1","11.7","11.8","10.2","10.3","9.0","8.0","7.3","5.9"
MO,Pemiscot County,"6.6","7.4","11.8","12.5","11.7","9.6","10.3","9.3","9.0","8.9","7.6"
MO,Perry County,"3.9","4.6","7.1","7.2","6.7","5.1","5.4","5.4","4.0","3.6","2.7"
MO,Pettis County,"5.2","6.2","8.7","9.3","8.3","7.1","6.6","6.1","5.0","4.9","4.2"
MO,Phelps County,"4.9","5.9","7.3","9.0","8.4","7.1","7.0","6.5","5.0","4.8","3.8"
MO,Pike County,"5.0","5.7","9.1","9.8","8.3","6.8","6.5","5.7","5.0","4.5","3.5"
MO,Platte County,"3.9","4.8","7.7","7.7","6.9","5.5","5.7","5.1","4.0","3.6","3.2"
MO,Polk County,"4.8","6.1","10.0","10.3","9.3","7.7","7.1","6.3","5.0","4.9","4.0"
MO,Pulaski County,"5.2","5.7","7.1","8.8","8.7","8.1","7.9","7.2","6.0","5.4","4.4"
MO,Putnam County,"5.5","5.4","7.3","8.0","6.8","5.9","5.9","5.1","4.0","4.6","3.9"
MO,Ralls County,"4.9","5.3","8.8","8.8","7.5","6.4","5.8","5.3","4.0","4.0","3.2"
MO,Randolph County,"5.4","6.1","10.6","11.5","10.5","8.7","8.2","7.0","6.0","5.3","4.6"
MO,Ray County,"5.3","6.4","10.0","10.3","9.3","8.2","7.7","6.8","6.0","4.9","4.8"
MO,Reynolds County,"6.9","7.3","13.1","15.1","13.2","10.9","9.4","8.3","7.0","6.5","4.1"
MO,Ripley County,"6.7","6.7","9.4","12.9","12.0","10.5","9.3","8.2","8.0","7.1","5.7"
MO,St. Charles County,"4.1","5.5","8.5","8.2","6.9","5.6","5.3","4.8","4.0","3.5","2.9"
MO,St. Clair County,"6.5","7.1","9.8","11.2","10.1","7.9","7.8","7.7","7.0","6.3","5.2"
MO,Ste. Genevieve County,"4.7","5.9","9.4","10.3","9.3","7.3","7.2","6.6","5.0","4.7","3.7"
MO,St. Francois County,"5.8","7.1","11.0","12.3","10.8","8.9","8.5","7.6","6.0","5.5","4.4"
MO,St. Louis County,"5.0","6.0","9.0","8.9","7.8","6.5","6.2","5.8","5.0","4.2","3.4"
MO,Saline County,"5.1","5.7","7.8","8.9","8.0","6.6","6.0","5.6","5.0","4.7","3.7"
MO,Schuyler County,"5.7","6.4","8.0","10.4","9.1","7.4","7.8","7.4","6.0","6.4","5.0"
MO,Scotland County,"4.8","6.6","7.9","8.1","6.6","5.0","5.3","4.8","5.0","4.1","3.2"
MO,Scott County,"5.8","6.6","8.9","9.7","8.8","7.0","7.1","6.6","5.0","5.7","4.5"
MO,Shannon County,"6.9","7.9","12.2","14.8","13.1","11.0","9.5","9.4","8.0","7.4","6.2"
MO,Shelby County,"5.0","5.3","8.8","8.6","7.2","6.0","5.6","6.0","5.0","4.2","3.5"
MO,Stoddard County,"6.4","7.5","9.5","10.4","10.0","8.7","8.8","7.8","7.0","6.4","5.1"
MO,Stone County,"6.4","7.8","12.1","13.8","12.6","11.1","10.5","9.7","8.0","7.0","5.6"
MO,Sullivan County,"6.2","5.8","6.8","8.8","8.4","6.8","6.5","6.6","6.0","5.8","4.1"
MO,Taney County,"6.8","7.7","12.0","13.9","13.2","11.3","10.7","9.8","8.0","7.4","6.1"
MO,Texas County,"5.7","6.9","9.2","11.0","9.7","8.2","8.2","7.9","7.0","6.3","5.0"
MO,Vernon County,"4.9","5.6","7.8","8.3","7.2","5.9","5.9","5.6","5.0","4.9","3.9"
MO,Warren County,"5.4","7.5","11.3","11.0","9.1","7.5","6.8","6.1","5.0","4.2","3.2"
MO,Washington County,"8.3","10.2","14.2","14.3","12.2","10.6","9.7","8.5","7.0","6.3","5.5"
MO,Wayne County,"6.9","6.8","9.1","10.8","10.1","9.0","8.2","7.4","6.0","5.3","5.1"
MO,Webster County,"4.8","5.7","9.7","10.5","8.9","7.1","6.7","6.0","5.0","4.9","3.9"
MO,Worth County,"4.6","5.5","7.5","6.8","5.7","4.2","4.1","4.0","3.0","3.0","2.6"
MO,Wright County,"6.0","7.2","10.2","11.9","9.8","8.4","8.4","7.3","6.0","5.9","5.0"
MO,St. Louis city,"7.1","7.8","11.7","11.5","10.3","8.5","8.4","7.6","6.0","5.5","4.4"
MT,Montana,"3.6","5.1","6.8","7.3","6.9","6.0","5.4","4.7","4.0","4.1","4.0"
MT,Beaverhead County,"2.8","4.1","5.0","5.9","6.1","5.4","4.7","3.7","3.0","3.3","3.1"
MT,Big Horn County,"6.7","8.3","9.5","11.0","12.0","12.1","14.1","10.0","7.0","7.3","13.4"
MT,Blaine County,"3.8","4.5","5.1","6.7","7.1","6.4","6.2","5.8","5.0","4.6","4.1"
MT,Broadwater County,"3.2","5.6","7.7","7.4","7.4","7.5","6.4","5.4","5.0","4.9","4.7"
MT,Carbon County,"2.9","4.3","5.7","6.4","5.7","4.7","4.5","3.9","4.0","3.9","3.7"
MT,Carter County,"3.1","3.3","3.8","3.9","3.9","3.2","3.1","3.2","3.0","2.7","2.6"
MT,Cascade County,"3.5","4.7","5.4","6.4","6.4","5.6","5.1","4.3","4.0","4.0","3.8"
MT,Chouteau County,"3.1","3.6","4.0","4.4","4.6","3.9","3.7","3.2","3.0","3.7","3.3"
MT,Custer County,"3.4","4.2","4.9","4.5","4.1","3.6","3.4","3.2","3.0","3.5","3.2"
MT,Daniels County,"2.7","3.7","4.1","3.5","3.5","3.2","3.2","3.1","3.0","2.6","2.3"
MT,Dawson County,"2.8","3.7","4.7","4.2","3.7","3.3","3.2","2.6","3.0","3.8","3.2"
MT,Deer Lodge County,"4.8","6.7","7.6","6.1","6.2","5.6","4.9","4.4","4.0","3.8","3.6"
MT,Fallon County,"2.0","2.6","3.2","3.1","2.6","2.1","2.0","1.9","2.0","3.6","2.7"
MT,Fergus County,"4.0","4.8","5.5","6.4","6.1","5.4","4.9","4.3","4.0","3.9","4.0"
MT,Flathead County,"4.0","6.7","11.8","12.0","10.9","9.0","7.7","6.5","6.0","5.6","5.2"
MT,Gallatin County,"2.6","4.2","7.0","6.8","6.0","5.1","4.1","3.5","3.0","2.8","2.8"
MT,Garfield County,"3.0","3.5","3.7","3.5","3.9","3.1","3.2","2.7","3.0","2.9","2.9"
MT,Glacier County,"8.0","9.2","9.3","9.8","11.4","9.9","10.1","10.6","9.0","8.6","8.0"
MT,Golden Valley County,"3.9","5.0","5.2","6.7","5.1","4.6","5.0","4.6","4.0","4.5","5.0"
MT,Granite County,"4.8","6.7","10.4","9.3","9.1","8.1","7.6","6.8","6.0","5.9","5.9"
MT,Hill County,"4.1","5.1","5.5","5.8","6.3","5.8","6.6","5.8","4.0","4.3","3.8"
MT,Jefferson County,"3.1","4.6","6.4","6.3","6.3","5.5","4.9","4.6","4.0","4.6","4.3"
MT,Judith Basin County,"3.7","4.4","5.3","6.4","6.2","5.2","4.9","4.2","3.0","3.4","3.7"
MT,Lake County,"5.5","7.5","9.2","9.0","9.1","7.7","6.5","5.6","5.0","4.7","4.4"
MT,Lewis and Clark County,"3.0","4.2","5.0","5.5","5.3","4.9","4.4","3.7","3.0","3.3","3.5"
MT,Liberty County,"2.9","4.2","4.3","4.4","4.0","4.2","3.4","3.1","3.0","3.1","3.1"
MT,Lincoln County,"7.5","10.8","14.8","15.0","14.8","12.5","13.0","11.2","10.0","9.0","8.5"
MT,McCone County,"2.2","2.8","3.2","2.9","3.0","2.9","2.4","2.3","2.0","1.9","2.2"
MT,Madison County,"2.9","4.2","6.3","7.6","7.3","6.2","5.5","4.6","4.0","3.8","4.0"
MT,Meagher County,"5.7","7.0","8.5","8.0","7.4","5.5","5.3","4.3","4.0","4.0","4.5"
MT,Mineral County,"4.7","7.2","10.5","12.5","12.1","10.9","10.4","9.1","8.0","7.6","7.6"
MT,Missoula County,"3.4","5.0","6.3","7.3","6.7","5.9","5.2","4.4","4.0","3.7","3.6"
MT,Musselshell County,"5.4","5.9","6.6","6.9","6.6","5.4","5.1","4.1","4.0","5.1","4.4"
MT,Park County,"3.5","5.3","8.0","8.8","8.3","7.0","6.4","5.6","5.0","4.3","4.0"
MT,Petroleum County,"5.1","5.6","5.5","5.4","5.7","4.3","4.8","4.2","5.0","4.7","4.7"
MT,Phillips County,"4.2","5.1","5.6","6.8","6.9","6.0","5.9","5.3","5.0","5.3","4.5"
MT,Pondera County,"4.0","5.5","6.3","5.9","6.0","4.9","4.9","4.9","5.0","4.2","3.9"
MT,Powder River County,"3.2","3.6","4.0","3.7","4.7","3.7","3.3","3.1","3.0","2.3","2.6"
MT,Powell County,"5.3","7.7","9.1","7.6","7.7","6.5","5.6","5.0","4.0","5.0","4.4"
MT,Prairie County,"3.5","4.2","4.1","5.1","5.5","4.3","4.6","4.3","4.0","3.2","3.6"
MT,Ravalli County,"4.5","6.6","9.2","9.4","9.0","7.6","6.7","6.0","5.0","4.8","4.7"
MT,Richland County,"2.4","3.2","4.7","3.8","3.1","2.8","2.6","2.4","3.0","5.0","3.8"
MT,Roosevelt County,"6.3","7.4","7.8","6.9","7.1","6.6","5.5","5.2","5.0","5.3","4.7"
MT,Rosebud County,"5.2","6.3","6.7","7.0","7.3","6.8","6.4","5.7","5.0","5.5","5.2"
MT,Sanders County,"6.6","10.4","15.6","13.1","13.4","11.5","10.5","9.3","8.0","7.7","7.0"
MT,Sheridan County,"2.7","3.2","4.3","3.7","3.6","3.0","2.8","2.6","3.0","3.3","2.7"
MT,Silver Bow County,"3.6","4.9","6.3","6.5","6.6","6.1","5.5","4.9","4.0","4.3","4.2"
MT,Stillwater County,"3.1","4.4","6.2","5.8","5.2","4.5","4.0","3.7","4.0","4.0","3.9"
MT,Sweet Grass County,"1.8","2.7","4.6","5.5","4.7","3.9","3.7","3.5","3.0","3.1","3.1"
MT,Teton County,"3.1","4.2","5.0","6.0","5.7","4.9","4.3","3.8","4.0","3.6","4.0"
MT,Toole County,"2.5","3.3","4.3","4.6","4.7","4.2","3.9","3.0","3.0","3.5","3.1"
MT,Treasure County,"3.2","4.2","5.2","5.3","5.6","5.0","4.5","4.0","5.0","4.2","3.8"
MT,Valley County,"3.5","4.3","5.2","4.9","4.7","4.2","3.8","3.0","3.0","3.4","3.3"
MT,Wheatland County,"3.4","4.1","5.7","7.9","8.0","6.3","6.2","5.0","6.0","5.0","4.4"
MT,Wibaux County,"2.7","3.6","4.7","4.2","4.2","3.2","3.4","2.9","3.0","3.9","3.3"
MT,Yellowstone County,"2.7","3.8","4.9","5.9","5.5","4.6","4.3","3.7","3.0","3.6","3.5"
NE,Nebraska,"3.0","3.3","4.6","4.6","4.4","4.0","3.8","3.3","3.0","3.1","2.9"
NE,Adams County,"2.7","3.1","5.1","4.7","4.3","3.8","3.6","3.4","3.0","3.1","3.1"
NE,Antelope County,"2.8","3.0","3.7","3.6","3.6","3.3","3.2","2.7","3.0","2.6","2.5"
NE,Arthur County,"3.8","3.7","5.8","8.0","6.1","6.5","7.7","5.4","5.0","5.7","5.4"
NE,Banner County,"2.0","2.5","3.4","4.4","4.6","4.6","4.6","3.7","3.0","3.4","3.8"
NE,Blaine County,"3.8","4.9","5.4","5.0","5.4","5.3","5.1","4.4","5.0","4.5","4.2"
NE,Boone County,"2.4","2.6","3.4","3.5","3.7","3.1","3.3","2.6","3.0","2.6","2.5"
NE,Box Butte County,"3.2","3.7","6.6","5.0","4.2","4.0","3.9","3.1","3.0","3.6","3.3"
NE,Boyd County,"3.0","3.2","3.9","3.9","3.8","3.9","3.5","3.3","3.0","3.0","3.3"
NE,Brown County,"2.6","2.7","3.1","4.7","4.6","4.1","3.9","3.5","4.0","3.7","3.2"
NE,Buffalo County,"2.2","2.5","3.6","3.6","3.5","3.3","3.2","2.8","2.0","2.5","2.4"
NE,Burt County,"4.0","4.2","5.6","5.9","5.7","4.7","4.5","3.9","4.0","3.7","3.7"
NE,Butler County,"2.5","2.9","4.2","3.9","3.8","3.3","3.4","3.0","3.0","3.2","2.8"
NE,Cass County,"3.3","3.7","5.2","5.6","5.2","4.6","4.3","3.7","3.0","3.4","3.2"
NE,Cedar County,"2.4","2.5","3.6","3.6","3.3","2.9","3.0","2.3","2.0","2.6","2.3"
NE,Chase County,"2.5","2.7","2.9","2.8","2.4","2.4","2.4","2.0","2.0","2.1","1.9"
NE,Cherry County,"2.2","2.4","2.6","3.0","3.0","2.9","2.8","2.5","2.0","2.3","2.3"
NE,Cheyenne County,"2.4","2.8","4.4","3.6","3.0","2.8","2.8","2.2","2.0","2.8","2.9"
NE,Clay County,"2.8","3.2","4.4","4.3","4.1","3.7","3.4","3.3","3.0","3.1","3.1"
NE,Colfax County,"2.2","2.6","3.7","3.9","3.9","3.5","3.5","3.0","3.0","2.8","2.4"
NE,Cuming County,"2.7","2.9","3.8","3.7","3.4","3.1","3.0","2.6","3.0","2.9","2.7"
NE,Custer County,"2.1","2.4","3.3","3.7","3.4","2.9","2.8","2.4","2.0","2.3","2.2"
NE,Dakota County,"4.0","4.2","6.0","7.3","5.9","5.8","4.7","3.7","4.0","4.2","4.1"
NE,Dawes County,"2.7","2.9","4.4","4.0","3.9","3.6","3.6","2.9","3.0","3.0","2.8"
NE,Dawson County,"3.0","4.0","4.6","4.9","5.0","4.4","3.8","3.5","3.0","3.0","2.9"
NE,Deuel County,"2.9","2.9","3.9","3.9","3.5","3.3","3.4","2.8","3.0","2.6","2.6"
NE,Dixon County,"3.1","3.2","4.7","4.8","4.6","4.1","3.7","3.0","3.0","3.3","3.2"
NE,Dodge County,"3.2","3.5","5.0","5.3","4.9","4.5","4.2","3.6","3.0","3.1","2.8"
NE,Douglas County,"3.4","3.7","5.2","5.1","4.9","4.5","4.1","3.6","3.0","3.3","3.2"
NE,Dundy County,"2.6","2.9","3.9","3.1","2.9","3.0","2.8","2.3","2.0","2.2","2.4"
NE,Fillmore County,"2.5","3.0","4.1","3.7","3.5","3.3","3.0","2.4","3.0","2.8","2.5"
NE,Franklin County,"2.8","3.0","3.9","4.3","4.2","3.6","3.5","3.2","2.0","3.0","3.0"
NE,Frontier County,"2.3","2.8","3.1","3.8","3.6","3.2","3.4","2.8","2.0","2.9","2.6"
NE,Furnas County,"3.0","2.9","3.7","3.4","3.7","3.5","3.5","2.9","3.0","2.8","2.4"
NE,Gage County,"3.6","4.7","6.2","5.8","5.8","5.0","4.6","4.1","4.0","3.3","3.5"
NE,Garden County,"2.7","3.0","4.3","4.1","3.6","3.2","2.8","2.9","2.0","3.3","2.8"
NE,Garfield County,"2.5","2.6","2.9","3.1","3.4","3.0","3.1","2.6","2.0","2.5","2.5"
NE,Gosper County,"3.2","3.2","3.9","3.6","3.5","3.0","3.4","3.0","3.0","2.6","2.6"
NE,Grant County,"2.6","2.9","3.5","3.8","3.3","3.4","3.3","2.3","2.0","2.2","2.3"
NE,Greeley County,"2.7","2.9","3.5","3.6","3.9","3.6","3.5","3.2","3.0","3.1","3.1"
NE,Hall County,"2.8","3.1","4.2","4.6","4.5","4.0","3.7","3.9","4.0","3.7","3.4"
NE,Hamilton County,"2.2","2.4","3.3","3.8","3.8","3.3","3.2","3.0","3.0","2.8","2.5"
NE,Harlan County,"2.6","3.1","3.7","3.2","3.3","3.2","3.1","2.6","2.0","2.5","2.6"
NE,Hayes County,"3.5","3.8","4.1","3.4","3.1","3.0","3.4","2.9","2.0","2.4","2.5"
NE,Hitchcock County,"2.7","3.4","5.5","5.1","4.9","4.1","4.0","3.4","3.0","3.6","3.4"
NE,Holt County,"2.6","2.7","3.1","3.6","3.4","3.2","3.1","2.7","2.0","2.5","2.5"
NE,Hooker County,"2.8","4.3","5.1","5.1","4.7","4.6","4.8","4.3","4.0","3.6","3.8"
NE,Howard County,"2.8","3.1","3.7","4.4","4.1","3.6","3.7","3.7","4.0","3.3","3.1"
NE,Jefferson County,"2.7","3.9","4.8","4.7","4.3","3.8","3.7","3.0","3.0","2.4","2.4"
NE,Johnson County,"2.9","3.2","4.2","4.7","4.8","4.3","4.3","3.8","3.0","3.2","3.4"
NE,Kearney County,"2.2","2.7","3.9","3.5","3.2","2.9","2.8","2.5","2.0","2.4","2.2"
NE,Keith County,"2.5","2.9","4.5","4.3","4.1","3.7","3.6","2.9","3.0","2.9","3.0"
NE,Keya Paha County,"3.7","4.8","4.8","3.5","3.0","3.1","3.3","2.7","2.0","2.1","2.5"
NE,Kimball County,"2.8","3.4","4.8","4.7","3.6","3.3","3.3","2.5","4.0","4.1","2.9"
NE,Knox County,"2.9","3.2","3.6","4.1","3.9","3.4","3.5","3.1","3.0","3.1","3.5"
NE,Lancaster County,"2.8","3.1","4.3","4.2","4.0","3.6","3.5","3.0","3.0","2.8","2.6"
NE,Lincoln County,"2.6","3.0","4.0","4.5","4.4","3.9","3.8","3.2","3.0","3.1","3.0"
NE,Logan County,"2.8","2.2","3.1","4.5","3.5","3.2","3.2","3.0","3.0","2.9","2.8"
NE,Loup County,"4.2","3.8","5.1","5.7","4.8","3.8","4.5","3.7","4.0","3.5","3.1"
NE,McPherson County,"2.0","2.3","3.8","2.8","2.5","3.6","3.8","2.3","2.0","2.4","2.2"
NE,Madison County,"3.2","3.3","4.3","4.2","4.1","3.7","3.5","2.9","3.0","2.8","2.6"
NE,Merrick County,"2.9","3.1","4.2","4.5","4.3","3.7","3.7","3.8","4.0","3.6","2.8"
NE,Morrill County,"2.6","3.1","4.2","4.1","3.4","3.2","3.2","3.0","3.0","3.2","2.9"
NE,Nance County,"2.5","3.0","3.3","3.9","3.7","3.3","3.2","2.7","3.0","2.8","2.5"
NE,Nemaha County,"3.8","4.6","5.2","5.3","5.0","4.8","5.0","3.8","4.0","3.6","3.9"
NE,Nuckolls County,"2.6","2.9","4.5","4.1","3.6","3.5","3.2","2.8","3.0","2.9","2.6"
NE,Otoe County,"3.0","3.5","5.0","5.0","5.1","4.5","4.3","3.7","3.0","3.4","3.4"
NE,Pawnee County,"3.0","3.4","3.7","4.0","3.8","3.3","3.1","2.8","3.0","2.2","3.1"
NE,Perkins County,"2.4","2.4","3.0","3.3","2.9","2.7","2.6","2.1","2.0","2.1","2.0"
