Idaho,"8.695287699273896E-5","1.0237505465829137E-4"
Illinois,"7.129311715518406E-4","7.927824354635979E-4"
Indiana,"3.045411189461331E-4","3.974316146287328E-4"
Iowa,"2.03988976831307E-4","1.9392998158847065E-4"
Kansas,"1.594822909772037E-4","1.439909305356456E-4"
Kentucky,"2.769304897588653E-4","2.7757789210195263E-4"
Louisiana,"1.7102106138382306E-4","1.97259251658659E-4"
Maine,"2.035768778882135E-4","1.5647569329885186E-4"
Maryland,"4.1086264626426894E-4","5.410063864056048E-4"
Massachusetts,"0.001783152126765789","0.0016176090953527586"
Michigan,"5.81883707648092E-4","7.087183661913423E-4"
Minnesota,"5.513883858591693E-4","5.455841327521138E-4"
Mississippi,"7.912299707396151E-5","9.197108568895282E-5"
Missouri,"5.188325693547789E-4","7.261970340598311E-4"
Montana,"8.530448122036475E-5","7.99024816845201E-5"
Nebraska,"1.6360328040813916E-4","2.1390560200960066E-4"
Nevada,"1.314595628468423E-4","1.42742454259325E-4"
New Hampshire,"9.437065796842285E-5","9.987810210565013E-5"
New Jersey,"8.217252925285379E-4","9.351087309641494E-4"
New Mexico,"1.331079586192165E-4","1.4482324805319268E-4"
New York,"0.00563545304680429","0.005064652094274009"
North Carolina,"6.263903935021953E-4","6.795872530771945E-4"
North Dakota,"1.0055214211482609E-4","2.9131113114147954E-5"
Ohio,"6.185605135834179E-4","8.085964682969924E-4"
Oklahoma,"1.755541497578521E-4","2.159863958034684E-4"
Oregon,"6.280387892745696E-4","8.78094981012174E-4"
Pennsylvania,"9.927463539123609E-4","0.0010304090867232904"
Puerto Rico,"7.623830447230666E-5","1.2359915135574202E-4"
Rhode Island,"7.294151292755827E-5","7.574089409678468E-5"
South Carolina,"2.637433235798717E-4","2.2930347608422172E-4"
South Dakota,"6.346323723640664E-5","4.9522892294051524E-5"
Tennessee,"3.626470699223236E-4","3.4666024605836064E-4"
Texas,"0.0011645916131823712","0.0018772921608274486"
US Virgin Islands,"4.533088374029045E-6","6.658540140376675E-6"
